"","id","content",
"0","448582144","나경원 특검가자 윤춘장아",
"1","448582153","조국에게 잔인한비판 했던 나경원! 이젠 당신이 잔인하게 보복받을 차례입니다! 솜방망이 부메랑 던지고,쇳덩이부메랑을 맛나게 쳐드십시오!",
"2","448582170","나경  구속하라.
구속 즉시하라.
도망갈수도 있다.
잡아넣고 수사해라.",
"3","448583005","윤석열   입만 벙긋하면   법과원칙   나불대는데
왜  나베에 대해서는  이리  관대하시는지",
"4","448584012","정의감에 불타는 개검들아
압색 안하냐 ?

조국 반대 시위하던
서울대생들은 꿀 쳐먹었냐 ?

그 난리부르스 치던 기레기들은
다 어디로 숨으셨나 ?",
"5","448582281","지자녀는 되고.. 
남의 자녀는 안되고.. 
내로남불.. 나씨누나.. 
나씨누나.. 아들 미국인이지?? ㅋ

자그럼! 시원하게까봐.. 
그럼 누나 다음총선도 보장된다. ㅋ 
근데. 미국인이라면.. 
서울대는 미국인에게 연구실적과 연구인력을 제공한 샘이네?",
"6","448583319","오늘 밤8시55분
MBC TV  스트레이트
●●●나경원 자녀 황금스팩 의혹조명●●●
시청해 봅시당",
"7","448582844","왜 수사를 안하는건지  검찰은 밝혀라.",
"8","448583731","조국 딸 문제로 시위했던 서울대 애들  뭐하냐? 이제 시위 해야 하지 않아? 불공정하다고 시위해야지?",
"9","448582592","고발해도 검사는 왜 조사 안하니?? 압색 왜ㅜ안하니?? 그러니 니덜이 욕 먹는거야...",
"10","448583298","이런뇨온이 남의자식 거품물고 물어뜯었지....너도당해봐야한다..똑같이",
"11","448582946","이정도면 압수수색행 되는거 아님??공평하게 합시다",
"12","448582731","석열이는  아베년  뒤배 바주는 헁태",
"13","448583491","이래놓고 조국딸 뭐라 한거냐?? 대채 어떻게 그렇게 뻔뻔스럽게 앞에서서 조국딸을 비난 할 수 있었던거지?? 이게 우리 정치인의 현실이지...",
"14","448582232","검찰 뭐하냐",
"15","448583675","조국 가족과 
똑같은 수준의 수사를 해라

두 눈 똑바로 뜨고 
지켜보마

ㅋ ㅋ",
"16","448583002","대일제국~
F1 레이싱뇬 일년 기름값 오천만원
매년 세계일주 하냐
세금  잡아 먹는 버러지뇬",
"17","448583246","잘한다 mbc!!",
"18","448583312","서울대  놈들은  뭐하삼?",
"19","448583462","윤짜장씨는 뭐하나
사람 골라서 수사하는 것도 아니고
이상하네",
"20","448583253","한국에서 제일 잡스런년",
"21","448584290","검새는 뭐하는가
윤석열이는  나베 압수수색 왜 안하는가
법과원칙 노래를 부르고 따지더만  
수사는 왜 ??? 왜 안하는가",
"22","448582847","일단 나베 구속 부터 시키고 수사하자!!",
"23","448585057","윤총장은 편파수사를 하려나
조국집안은 작살을 내면서
나경원에게는 관대한거냐
뭐냐~당신도 정치 검총장이냐",
"24","448585429","기레기들 뭐하냐? 조국장관은 일가친척들까지 탈탈털더니 나경원 기사가 없냐? 그리고 자기자식은 이리해놓고 남의자식 털때 일말의 양심이라도 찔리는데 없었을까? 조국장관반대 시위하던 학생들은 뭐하는지",
"25","448583507","조전장관님  딸처럼 탈탈 털고 압색까지 갑시다 
증거인멸하기전에 중딩 일기장도 털어라",
"26","448585389","MBC와 서유정기자를 칭찬합니다.~",
"27","448583821","검사들뭐하나?!
윤석열 뭐하나?!",
"28","448583453","나경원도 조국만큼만 털자.",
"29","448583380","구속하라  나경원.",
"30","448586739","나경원과 아들 특검하자!!!! 완전 비리 투성이네.. 조국 딸은 게임이 안됀다.. 나경원 위정자 게이트다!!!!",
"31","448583400","조국이처럼 빨리 수사해라
먼지  털이식 수사
형평성이 어긋난다,
검찰들아!",
"32","448583175","나경원과 그 아들을 구속하라!!!",
"33","448586362","야 그자 석 참 대단하네...
미쿡서 학위 하랴~~짬짜미 국내 들어와 실험 연구하랴!!!

나 갱원아 박사학위 줘도 되것다. 니 애비 사학에서 표창장 이나 박사학위 하나 맹글어 수여해라 
니 아들 자석에~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~`",
"34","448586058","윤석열아 조국은 아주나쁜놈이러면서?? 나경원은?? 이렇게 증거들이 나와도 수사안하냐??? 압수수색 하는지 하면 어떻게 하는지 보자 중학교일기장에 자소서 한줄한줄 다 검찰이 감증하고 자소서애나온기관 전부 압수수색하고 나경원 주변인들불러서 니들입맛에맞게 증언안하면 니들 수사한다고 협박하고 해야지??? 아프다 하면 무도건 꾀병이고 병원에 압박하고

난 우리나라검찰이 조폭 양 치 보다 더한 비열한린간인걸 이번에 알았다",
"35","448590817","하늘아래 똑같은 나라에서 똑같은 헌법을 적용하는 나라인데 누구는 가정집을 11시간동안 압수수색 먼지까지 떨어서 뒤진놈들이 나씨는 지금까지 나온 의혹들이 수십가지인데 아직도 수사도 안하니 이게 어느나라 법이고 어느나라 검찰들인가",
"36","448585105","SKY대
일부 집회자들 뭐하고 있냐?
공정.국민눈높이 씨부리며
조국 일가족을 향해  집회를  하던것들이
나경원 상대로는  안하나?
선택적 정의  인가?",
"37","448584798","저거 집안 김재호랑 나경원 가족 전원 비리 반칙 집이다 바로 닭장에 가둬라 윤짜장아 왜 조국은 표창장 하나로 50명 특수부 검사들 동원하여 이잡듯이 하더니  나경원 집안은 저리 명백한 범죄 의혹이 수두륵 한데도 수사 의지가 없단 말이더냐",
"38","448583532","똥만먹고산 말티즈가  

소고기만먹고산 바둑이한테

그리 짖어댔구만...

아 쪽팔려~~~",
"39","448591009","서울대 학생들, 그리고 동문들....

나경원에 대해서는 뭐라하는지 보자...

이걸 침묵한다면 니들이 돈먹은 벌레들이란 증거가 될것이다....",
"40","448588817","검찰 자고 있나요     왜이리 조용한가   정말 이상하네요   윤총장 이래가지고 법과원칙데로 수사한다고 밀할낀가요",
